0122239315,5,234,20200424015221
0120075931,4,284,20200424015221
0129418391,4,461,20200424015221
0121918246,1,352,20200424015221
0123564054,2,77,20200424015221
0129181579,7,295,20200424015221
0124634243,5,317,20200424015221
0126852195,7,161,20200424015221
0127960918,1,27,20200424015221
0126863557,7,132,20200424015221
0123902281,2,197,20200424015221
0128434745,7,146,20200424015221
0122402441,6,92,20200424015221
0124126854,2,213,20200424015221
0124697276,3,424,20200424015221
0125942130,4,95,20200424015221
0123382738,5,186,20200424015221
0122673508,6,29,20200424015221
0126847437,9,61,20200424015221
0129350895,1,294,20200424015221
0123564054,4,121,20200424015221
0123461398,1,289,20200424015221
0128853688,9,1,20200424015221
0129570578,1,232,20200424015221
0123988148,2,440,20200424015221
0125142376,10,204,20200424015221
0128843864,4,378,20200424015221
0125889547,8,420,20200424015221
0123122194,10,16,20200424015221
0126092750,6,52,20200424015221
0122454378,2,254,20200424015221
0125204164,4,78,20200424015221
0125682741,8,420,20200424015221
0122818111,10,481,20200424015221
0125053856,1,482,20200424015221
0122240627,2,490,20200424015221
0123619698,10,468,20200424015221
0129953953,8,18,20200424015221
0122198657,8,310,20200424015221
0127549570,10,373,20200424015221
0122468959,3,318,20200424015221
0129198426,8,187,20200424015221
0121822052,7,382,20200424015221
0120174120,2,262,20200424015221
0122844744,2,81,20200424015221
0120823151,1,294,20200424015221
0129577887,4,110,20200424015221
0123903963,10,108,20200424015221
0122468959,8,96,20200424015221
0124477296,6,387,20200424015221
0128292131,7,408,20200424015221
0120174120,8,491,20200424015221
0126846007,1,340,20200424015221
0120630643,10,109,20200424015221
0122526742,9,422,20200424015221
0124009041,2,389,20200424015221
0122024157,9,419,20200424015221
0129899839,9,283,20200424015221
0129184058,3,272,20200424015221
0120241220,2,383,20200424015221
0122516285,3,263,20200424015221
0120559386,3,181,20200424015221
0127748379,1,174,20200424015221
0129577887,4,76,20200424015221
0127043980,6,27,20200424015221
0125872141,7,111,20200424015221
0121064556,1,83,20200424015221
0121932026,3,373,20200424015221
0120559386,3,494,20200424015221
0121511117,4,234,20200424015221
0123903963,4,356,20200424015221
0123339478,6,4,20200424015221
0122231599,4,102,20200424015221
0123837021,2,340,20200424015221
0121440420,10,80,20200424015221
0128190590,10,471,20200424015221
0122962855,1,58,20200424015221
0126470128,8,69,20200424015221
0127514963,9,457,20200424015221
0129526087,7,230,20200424015221
0123688692,10,432,20200424015221
0120304482,2,9,20200424015221
0125142376,9,314,20200424015221
0125384121,4,322,20200424015221
0120463725,2,156,20200424015221
0129361163,6,39,20200424015221
0128312345,9,310,20200424015221
